timestamp,Vibration_X_RMS,Vibration_Y_RMS,Vibration_Z_RMS
14:29:48:44,2.828125,4.75,1.2734375
14:29:49:06,0.42578125,0.7734375,0.14453125
14:29:49:66,0.1953125,0.60546875,0.1171875
14:29:50:29,2.11328125,2.4296875,1.23828125
14:29:50:88,0.2265625,0.27734375,0.12109375
14:29:51:50,1.10546875,1.80078125,0.2421875
14:29:52:10,0.4765625,1.34375,0.31640625
14:29:52:72,0.55078125,0.69921875,0.27734375
14:29:53:32,0.6796875,1.3359375,0.296875
14:29:53:94,0.671875,1.33203125,0.3203125
14:29:54:55,0.69140625,1.35546875,0.3046875
14:29:55:15,1.2109375,2.61328125,0.37109375
14:29:55:77,0.53515625,0.9765625,0.1953125
14:29:56:37,0.10546875,0.20703125,0.08984375
14:29:56:99,0.08984375,0.19140625,0.1015625
14:29:57:59,0.10546875,0.234375,0.09765625
14:29:58:20,0.09375,0.16796875,0.09765625
14:29:58:81,0.109375,0.203125,0.1015625
14:29:59:42,0.11328125,0.17578125,0.09765625
14:30:00:02,0.09765625,0.203125,0.09765625
14:30:00:64,0.09375,0.17578125,0.10546875
14:30:01:25,0.09765625,0.171875,0.10546875
14:30:01:85,0.12890625,0.1953125,0.0859375
14:30:02:48,0.09765625,0.2109375,0.09375
14:30:03:08,0.10546875,0.1640625,0.109375
14:30:03:68,0.109375,0.21875,0.09375
14:30:04:29,0.1015625,0.20703125,0.0859375
14:30:04:90,0.109375,0.21484375,0.11328125
14:30:05:52,0.09765625,0.234375,0.08984375
14:30:06:12,0.20703125,0.1953125,0.09375
14:30:06:73,0.1328125,0.20703125,0.1015625
14:30:07:33,0.24609375,0.26953125,0.125
14:30:07:95,1.67578125,0.6640625,0.76171875
14:30:08:56,0.35546875,0.58984375,0.3828125
14:30:09:17,2.14453125,2.3359375,2.9921875
,,,
