14:28:29:57,Vibration_X_RMS,Vibration_Y_RMS,Vibration_Z_RMS
14:28:31:41,2.25,1.8671875,0.74609375
14:28:29:57,2.1953125,2.66796875,1.28125
14:28:50:30,2.15234375,2.18359375,2.98828125
14:28:49:07,1.6015625,0.6484375,0.6484375
14:28:49:69,1.2265625,1.234375,1.1328125
14:28:36:28,1.1640625,2.48828125,0.390625
14:28:51:12,0.953125,2.5625,0.29296875
14:28:51:52,0.953125,2.5625,0.29296875
14:28:35:67,0.7265625,1.32421875,0.3046875
14:28:35:06,0.7109375,0.9296875,0.3203125
14:28:36:87,0.70703125,1.31640625,0.18359375
14:28:34:45,0.6953125,1.12109375,0.29296875
14:28:33:83,0.5859375,0.91015625,0.28125
14:28:32:00,0.5859375,0.4765625,0.16015625
14:28:30:17,0.51171875,0.91015625,0.1796875
14:28:33:23,0.48046875,1.33984375,0.30859375
