14:29:22:14,Vibration_X_RMS,Vibration_Y_RMS,Vibration_Z_RMS
14:29:22:14,2.6171875,4.79296875,0.6484375
14:29:42:86,2,2.1796875,2.9609375
14:29:23:96,1.765625,1.98046875,1.64453125
14:29:24:55,1.140625,1.87890625,0.26953125
14:29:41:64,1.125,2.1171875,0.48828125
14:29:42:24,1.06640625,2.109375,1.19921875
14:29:29:43,0.8984375,1.2109375,0.234375
14:29:28:83,0.89453125,2.83984375,0.3984375
14:29:28:21,0.76171875,1.5625,0.3515625
14:29:27:61,0.67578125,1.34375,0.3203125
14:29:26:39,0.6640625,1.24609375,0.26171875
14:29:26:99,0.65625,1.03515625,0.34375
14:29:22:73,0.54296875,1.015625,0.16796875
14:29:25:77,0.4765625,1.296875,0.29296875
14:29:25:17,0.38671875,0.59765625,0.125
